Candidate,Facebook Page (null if none),(is it a government page?)
Ben Carson,realbencarson,
Bernie Sanders,berniesanders,
Bobby Jindal,BobbyJindal,
Carly Fiorina,CarlyFiorina,
Christopher V. Hill,CVHILLforAmerica,
Donald Trump,DonaldTrump,
George Pataki,GovGeorgePataki,
Hillary Clinton,hillaryclinton,
Jeb Bush,JebBush,
Jim Webb,IHeardMyCountryCalling,
John Kasich,JohnKasich,
Lincoln Chafee,GovernorChafee,
Lindsey Graham,LindseyGrahamSC,
Marco Rubio,MarcoRubio,
Mark Everson,MarkForAmerica,
Martin O'Malley,MartinOMalley,
Mike Huckabee,mikehuckabee,
Rand Paul,RandPaul,government page
Rick Perry,GovernorPerry,
Rick Santorum,RickSantorum,
Scott Walker,scottkwalker,
Ted Cruz,tedcruzpage,
